objectid,type,title,creator,date,location,description,PEOPLE,SEARCH TERMS,subject,identifier,rights,image_small,image_thumb
2020.12.1,"Print, Digital","Digital Photograph, Closed Park, Tabatha McGee, April 2020",Tabatha McGee,12-Apr-20,"Guelph, Ontario, Canada","Colour photograph (digital file) of the playground at the West End Community Centre taken by Tabatha McGee on 12 April 2020. The playground equipment is roped off with caution tape. The playground was closed by the City of Guelph during the COVID-19 pandemic lockdown. On March 11, 2020, the World Health Organization declared COVID-19 a pandemic. On March 17, Ontario declared a state of emergency. In Guelph, the lockdown prompted citywide closures and social distancing protocols. Between January 15, 2020 and June 12, 2021, there were 174,918,667 confirmed cases of COVID-19 with 3,782,490 deaths worldwide and 1,398,274 confirmed cases of COVID-19 with 25,873 deaths in Canada. Accessed June 12, 2021: https://covid19.who.int/ Between January 15, 2020 and June 12, 2021, there were 539,153 confirmed cases of COVID-19 with 8,950 deaths in Ontario and 2,837 confirmed cases of COVID-19 with 43 deaths in the Wellington-Dufferin-Guelph public health unit. Accessed June 12, 2021: https://covid-19.ontario.ca/data","McGee, Tabatha","COVID-19 Pandemic, 2020 West End Community Centre",PANDEMIC PHOTOGRAPHS - COLOUR,2020.12.1 - Digital Print,Original image and copyright maintained by Tabatha McGee.,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/2020121.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/2020121.jpg
2020.12.2,"Print, Digital","Digital Photograph, Tabatha McGee, Woodlawn Road, 2020",Tabatha McGee,25-Apr-20,"Guelph, Ontario, Canada","Colour photograph (digital file) of the Esso gas station sign on Woodlawn Road taken by Tabatha McGee on 25 April 2020. Gas prices were severely lowered by the reduction of travel and transportation caused by the national COVID-19 pandemic lockdown. At the time of the photograph, regular fuel was priced at 81.9 cents/litre and diesel fuel at 87.5 cents/litre. Before the lockdown regulations reduced regular fuel consumption, the average price for regular fuel exceeded $1.00/litre. On March 11, 2020, the World Health Organization declared COVID-19 a pandemic. On March 17, Ontario declared a state of emergency. In Guelph, the lockdown prompted citywide closures and social distancing protocols. Between January 15, 2020 and June 12, 2021, there were 174,918,667 confirmed cases of COVID-19 with 3,782,490 deaths worldwide and 1,398,274 confirmed cases of COVID-19 with 25,873 deaths in Canada. Accessed June 12, 2021: https://covid19.who.int/ Between January 15, 2020 and June 12, 2021, there were 539,153 confirmed cases of COVID-19 with 8,950 deaths in Ontario and 2,837 confirmed cases of COVID-19 with 43 deaths in the Wellington-Dufferin-Guelph public health unit. Accessed June 12, 2021: https://covid-19.ontario.ca/data","McGee, Tabatha","COVID-19 Pandemic, 2020 Esso Service Station Woodlawn Road",COMMERCIAL - FUELS PANDEMIC PHOTOGRAPHS - COLOUR,2020.12.2 - Digital Print,Original image and copyright maintained by Tabatha McGee.,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/2020122.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/2020122.jpg
2020.12.3,"Print, Digital","Digital Photograph, Drive by Birthday, Tabatha McGee, April 2020",Tabatha McGee,12-Apr-20,"Guelph, Ontario, Canada","Colour photograph (digital file) of a drive-by birthday celebration taken by Tabatha McGee on 28 April 2020. During the COVID-19 lockdown, Lucas David McGee turned five years old. Before the pandemic, his family planned to throw a LEGO themed party for him. Lucas was devastated when these plans were cancelled. In response, the Guelph Social Distancing Birthday Parade Facebook group organized a drive-by celebration. Friends, family and members of the Facebook group drove by the McGee home, with Lucas standing outside. The drivers decorated their cars and honked as they went by. Some threw gifts out their car windows. Lucas remembers the celebration as one of ""the best birthdays ever."" On March 11, 2020, the World Health Organization declared COVID-19 a pandemic. On March 17, Ontario declared a state of emergency. In Guelph, the lockdown prompted citywide closures and social distancing protocols. Between January 15, 2020 and June 12, 2021, there were 174,918,667 confirmed cases of COVID-19 with 3,782,490 deaths worldwide and 1,398,274 confirmed cases of COVID-19 with 25,873 deaths in Canada. Accessed June 12, 2021: https://covid19.who.int/ Between January 15, 2020 and June 12, 2021, there were 539,153 confirmed cases of COVID-19 with 8,950 deaths in Ontario and 2,837 confirmed cases of COVID-19 with 43 deaths in the Wellington-Dufferin-Guelph public health unit. Accessed June 12, 2021: https://covid-19.ontario.ca/data","McGee, Tabatha","COVID-19 Pandemic, 2020",CHILDREN PANDEMIC PHOTOGRAPHS - COLOUR SPECIAL EVENTS - BIRTHDAYS,2020.12.3 - Digital Print,Original image and copyright maintained by Tabatha McGee.,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/2020123.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/2020123.jpg
2020.12.4,"Print, Digital","Digital Photograph, Child's Haircut, Winnie Duyen, April 2020",Winnie Duyen,12-Apr-20,"Guelph, Ontario, Canada","Colour photograph (digital file) of two-year-old Chloe Joanne McGee, wearing a mask to have her hair cut, taken by Winnie Duyen on 27 May 2020. Winnie Duyen is a hairdresser at Winnie Duyen Hair Salon & Spa, located at 240 Silvercreek Parkway. After the national COVID-19 lockdown restrictions were lifted, businesses reopened but adopted new safety measures to prevent the spread of the coronavirus. Hair salons required their patrons to wear masks. On March 11, 2020, the World Health Organization declared COVID-19 a pandemic. On March 17, Ontario declared a state of emergency. In Guelph, the lockdown prompted citywide closures and social distancing protocols. Between January 15, 2020 and June 12, 2021, there were 174,918,667 confirmed cases of COVID-19 with 3,782,490 deaths worldwide and 1,398,274 confirmed cases of COVID-19 with 25,873 deaths in Canada. Accessed June 12, 2021: https://covid19.who.int/ Between January 15, 2020 and June 12, 2021, there were 539,153 confirmed cases of COVID-19 with 8,950 deaths in Ontario and 2,837 confirmed cases of COVID-19 with 43 deaths in the Wellington-Dufferin-Guelph public health unit. Accessed June 12, 2021: https://covid-19.ontario.ca/data","Duyen, Winnie","COVID-19 Pandemic, 2020 Winnie Duyen Hair Salon & Spa",PANDEMIC,2020.12.4 - Digital Print,Original image and copyright maintained by Winnie Duyen.,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/2020124.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/2020124.jpg
2020.12.5,"Print, Digital","Digital Photograph, ""Guelph Strong"" Shirt, Tabatha McGee, May 2020",Tabatha McGee,27-May-20,"Guelph, Ontario, Canada","Colour photograph (digital file) of three children wearing ""Guelph Strong"" shirts while sitting on a sofa. The photograph was taken by Tabatha McGee on 27 May 2020. The figures are (left to right): Lucas David McGee, Iris Abigail McGee and Chloe Joanne McGee. During the pandemic two local businesses, Consign Your Curves and Smiles Apparel, collaborated to create a line of unisex clothing with the ""Guelph Strong"" logo. From each sale from the clothing line, $5.00 was donated to the local foodbank. On March 11, 2020, the World Health Organization declared COVID-19 a pandemic. On March 17, Ontario declared a state of emergency. In Guelph, the lockdown prompted citywide closures and social distancing protocols. Between January 15, 2020 and June 12, 2021, there were 174,918,667 confirmed cases of COVID-19 with 3,782,490 deaths worldwide and 1,398,274 confirmed cases of COVID-19 with 25,873 deaths in Canada. Accessed June 12, 2021: https://covid19.who.int/ Between January 15, 2020 and June 12, 2021, there were 539,153 confirmed cases of COVID-19 with 8,950 deaths in Ontario and 2,837 confirmed cases of COVID-19 with 43 deaths in the Wellington-Dufferin-Guelph public health unit. Accessed June 12, 2021: https://covid-19.ontario.ca/data","McGee, Tabatha","Consign Your Curves COVID-19 Pandemic, 2020 Smile Apparel",CHILDREN COMMERCIAL - CLOTHING FAMILY PANDEMIC,2020.12.5 - Digital Print,Original image and copyright maintained by Tabatha McGee.,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/2020125.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/2020125.jpg
2020.12.6,"Print, Digital","Digital Photograph, McGee Family Portrait, Guelph Front Steps Project, May 2020",Chantel David Kieley,30-May-20,"Guelph, Ontario, Canada","Colour photograph (digital file) of the McGee Family, taken by a photographer with the Guelph Front Steps Project on 30 May 2020. The Guelph Front Steps project is a Facebook group, started by Chantel David Kieley who offered to take five-minute portraits of Guelph families on their front steps during the COVID-19 lockdown. These portraits were shared on the project's Facebook and Instagram pages. From a brochure produced by the Guelph Front Steps Project: ""The Guelph Front Steps project was started by Chantel David Kieley, a freelance photographer. The goal [is] to allow people to step outside for a moment while social distancing, to have a photo to share with friends and family in the future, to bring the community together to highlight the faces that we usually see."" On March 11, 2020, the World Health Organization declared COVID-19 a pandemic. On March 17, Ontario declared a state of emergency. In Guelph, the lockdown prompted citywide closures and social distancing protocols. Between January 15, 2020 and June 12, 2021, there were 174,918,667 confirmed cases of COVID-19 with 3,782,490 deaths worldwide and 1,398,274 confirmed cases of COVID-19 with 25,873 deaths in Canada. Accessed June 12, 2021: https://covid19.who.int/ Between January 15, 2020 and June 12, 2021, there were 539,153 confirmed cases of COVID-19 with 8,950 deaths in Ontario and 2,837 confirmed cases of COVID-19 with 43 deaths in the Wellington-Dufferin-Guelph public health unit. Accessed June 12, 2021: https://covid-19.ontario.ca/data","Kieley, Chantel David","COVID-19 Pandemic, 2020 Guelph Front Steps Project",FAMILY PANDEMIC PHOTOGRAPHERS PHOTOGRAPHS - COLOUR,2020.12.6 - Digital Print,Original image and copyright maintained by Chantel David Kieley. Image was shared on Facebook by the photographer on 30 May 2020.,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/2020126.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/216/2020126.jpg
2020.13.1,"Print, Digital","Digital Photograph, Face Masks, Barbara Salsberg-Mathews, 2020","Salsberg-Mathews, Barbara",2020,"Guelph, Ontario, Canada","Colour photograph (digital file) of various face masks, all handmade by Barbara Salsberg-Mathews, 2020. The photograph depicts seventeen (17) fabric face masks, in various patterns, which are laid out on a flat surface. Each mask has elastic ear loops. On March 11, 2020, the World Health Organization declared COVID-19 a pandemic. On March 17, Ontario declared a state of emergency. In Guelph, the lockdown prompted citywide closures and social distancing protocols. Between January 15, 2020 and June 12, 2021, there were 174,918,667 confirmed cases of COVID-19 with 3,782,490 deaths worldwide and 1,398,274 confirmed cases of COVID-19 with 25,873 deaths in Canada. Accessed June 12, 2021: https://covid19.who.int/ Between January 15, 2020 and June 12, 2021, there were 539,153 confirmed cases of COVID-19 with 8,950 deaths in Ontario and 2,837 confirmed cases of COVID-19 with 43 deaths in the Wellington-Dufferin-Guelph public health unit. Accessed June 12, 2021: https://covid-19.ontario.ca/data","Mathews, Barbara (Salsberg)","COVID-19 Pandemic, 2020",PANDEMIC PHOTOGRAPHS - COLOUR SEWING,2020.13.1 - Digital Print,Original image and copyright maintained by Barbara Salsberg-Mathews.,https://s3.amazonaws.com/pastperfectonline/images/museum_51/215/2020131.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/215/2020131.jpg
2020.13.2,"Print, Digital","Digital Photograph, Face Mask, Barbara Salsberg-Mathews, 2020","Salsberg-Mathews, Barbara",2020,"Guelph, Ontario, Canada","Colour photograph (digital file) of Barbara Salsberg-Mathews wearing one of her handmade masks, 2020. The photograph depicts a close-up view of Barbara Salsberg-Mathews' face. She has short curly hair and is wearing a multi-coloured face mask that covers her nose and mouth. A window on a beige wall is visible in the background. On March 11, 2020, the World Health Organization declared COVID-19 a pandemic. On March 17, Ontario declared a state of emergency. In Guelph, the lockdown prompted citywide closures and social distancing protocols. Between January 15, 2020 and June 12, 2021, there were 174,918,667 confirmed cases of COVID-19 with 3,782,490 deaths worldwide and 1,398,274 confirmed cases of COVID-19 with 25,873 deaths in Canada. Accessed June 12, 2021: https://covid19.who.int/ Between January 15, 2020 and June 12, 2021, there were 539,153 confirmed cases of COVID-19 with 8,950 deaths in Ontario and 2,837 confirmed cases of COVID-19 with 43 deaths in the Wellington-Dufferin-Guelph public health unit. Accessed June 12, 2021: https://covid-19.ontario.ca/data","Mathews, Barbara (Salsberg)","COVID-19 Pandemic, 2020",PANDEMIC PHOTOGRAPHS - COLOUR SEWING,2020.13.2 - Digital Print,Original image and copyright maintained by Barbara Salsberg-Mathews.,https://s3.amazonaws.com/pastperfectonline/images/museum_51/215/2020132.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/215/2020132.jpg
2020.14.1,"Print, Digital","Digital Photograph, Lawn Sculpture, Melanie Martin, 19 March 2020",Melanie Martin,19-Mar-20,"Guelph, Ontario, Canada","Colour photograph (digital file) of lawn sculpture created by Melanie Martin and her 4-year-old child to celebrate the first day of spring, 19 March 2020. The original lawn sculpture was made of painted sticks, fake flowers, ribbons, pipe cleaners, and fabric. The donor and her child gathered sticks and stones from their yard, which they painted together at the kitchen table. They decorated the front of the house with these painted items. They spent several days decorating during the early days of the national COVID-19 pandemic lockdown. Many neighbours walking past stopped to comment on the decorations. On March 11, 2020, the World Health Organization declared COVID-19 a pandemic. On March 17, Ontario declared a state of emergency. In Guelph, the lockdown prompted citywide closures and social distancing protocols. Between January 15, 2020 and June 12, 2021, there were 174,918,667 confirmed cases of COVID-19 with 3,782,490 deaths worldwide and 1,398,274 confirmed cases of COVID-19 with 25,873 deaths in Canada. Accessed June 12, 2021: https://covid19.who.int/ Between January 15, 2020 and June 12, 2021, there were 539,153 confirmed cases of COVID-19 with 8,950 deaths in Ontario and 2,837 confirmed cases of COVID-19 with 43 deaths in the Wellington-Dufferin-Guelph public health unit. Accessed June 12, 2021: https://covid-19.ontario.ca/data","Martin, Melanie","COVID-19 Pandemic, 2020",ARTS - VISUAL ARTS CRAFTS NEIGHBOURHOOD PANDEMIC,2020.14.1 - Digital Print,Original image and copyright maintained by Melanie Martin.,https://s3.amazonaws.com/pastperfectonline/images/museum_51/215/2020141.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/215/2020141.jpg
2020.14.2,"Print, Digital","Digital Photograph, Lawn Sculpture, Melanie Martin, 19 March 2020",Melanie Martin,19-Mar-20,"Guelph, Ontario, Canada","Colour photograph (digital file) of lawn sculpture created by Melanie Martin and her 4-year-old child to celebrate the first day of spring, 19 March 2020. The original lawn sculpture was made of painted sticks, fake flowers, ribbons, pipe cleaners, and fabric. The donor and her child gathered sticks and stones from their yard, which they painted together at the kitchen table. They decorated the front of the house with these painted items. They spent several days decorating during the early days of the national COVID-19 pandemic lockdown. Many neighbours walking past stopped to comment on the decorations. On March 11, 2020, the World Health Organization declared COVID-19 a pandemic. On March 17, Ontario declared a state of emergency. In Guelph, the lockdown prompted citywide closures and social distancing protocols. Between January 15, 2020 and June 12, 2021, there were 174,918,667 confirmed cases of COVID-19 with 3,782,490 deaths worldwide and 1,398,274 confirmed cases of COVID-19 with 25,873 deaths in Canada. Accessed June 12, 2021: https://covid19.who.int/ Between January 15, 2020 and June 12, 2021, there were 539,153 confirmed cases of COVID-19 with 8,950 deaths in Ontario and 2,837 confirmed cases of COVID-19 with 43 deaths in the Wellington-Dufferin-Guelph public health unit. Accessed June 12, 2021: https://covid-19.ontario.ca/data","Martin, Melanie","COVID-19 Pandemic, 2020",ARTS - VISUAL ARTS CRAFTS NEIGHBOURHOOD PANDEMIC,2020.14.2 - Digital Print,Original image and copyright maintained by Melanie Martin.,https://s3.amazonaws.com/pastperfectonline/images/museum_51/215/2020142.jpg,https://s3.amazonaws.com/pastperfectonline/images/museum_51/215/2020142.jpg
